ὁ	the
καί	and, also
οὐ	not
οὗτος	this; that
δέ	but
λόγος	the word
ἐγώ	I (first person pronoun)
ἤ1	-
πᾶς	all, the whole
εἰμί	to be
περί	around, round about with gen., dat., and acc.
μή	not
τις	any one, any thing, some one, some thing;
ὅς	who, that, which: relative pronoun
τίς	who? which?
ὡς	as, how
εἰ	conj. if, whether; part. w/wishes, adv. w/imperatives
θεός	god
ἐν	in, among. c. dat.
τε	and
μέν	on the one hand, on the other hand
γάρ	for
εἰς	into, to c. acc.
ὅσος	as much/many as
ἄλλος	other, another
οὕτως	so, in this manner
ὥσπερ	just as if, even as
πρός	(w. gen.) from; (w. dat.) at, near, in addition to; (w. acc.) to, toward, regarding
εἷς	one
διά	through c. gen.; because of c. acc.
ἐπί	on, upon with gen., dat., and acc.
ἡμέτερος	our
ἄν1	-
σύ	you (personal pronoun)
αὐτός	unemph. 3rd pers.pronoun; -self; [the] same
ἀλλά	otherwise, but
καλός	beautiful
μετά	(w gen) with, among; (w acc) after
ἔχω	to have
—	-
κατά	down, against with gen.; according to, throughout with acc.
οὐδέ	and/but not; not even
μηδέ	but not
πολύς	much, many
ἵνα	in order that (conj.); where (rel. adv.)
ἀκοή	a hearing, the sound heard
φέρω	to bear
πρᾶγμα	that which has been done, a deed, act
ἐπεί	after, since, when
ὁδός	a way, path, track, journey
δεῖ	it is necessary
φημί	to say, to claim
παρά	from the side of, c. gen., beside, alongside of, c. dat., to the side of, motion alongside of, c. acc.
λέγω3	-
οὖν	so, then, therefore
γλῶσσα	the tongue
μικρός	small, little
εἶπον	to speak, say
ἀκούω	to hear
ψυχή	breath, soul
σῶμα	the body
οἷος	(such a kind) as; for οἷός τε see οἷος III.2
δύναμις	power, might, strength
οὐδείς	not one, nobody
ἀμαθής	unlearned, ignorant, stupid, boorish
μέγας	big, great
κακός	bad
πλείων	more, larger
ὦ	O! oh!
φιλοσοφέω	to love knowledge, pursue it, philosophise
καιρός	time; the right moment, opportunity
ὑπέρ	over, above, w. gen, over, beyond, w. acc.
ἑαυτοῦ	himself, herself, themselves
ποιέω	to make, to do
γε	at least, at any rate
ἐκεῖνος	that over there, that
πάθος	anything that befalls one, an incident, accident
Παῦλος	-
μόνος	alone, left alone, forsaken solitary
καθά	according as, just as
ὄψις	look, appearance, aspect
πάντως	altogether;
διάνοια	a thought, intention, purpose
λαμβάνω	to take, seize, receive
ὅτι2	conj.: that, because
ὅταν	when, whenever
θεολογία	-
βούλομαι	to will, wish, be willing
μιμνήσκω	to remind
ἐπαινέω	to approve, applaud, commend
κύριος	having power
γίγνομαι	become, be born
κόσμος	order
ἀλλότριος	of/belonging to another
ὑψηλός	high, lofty, high-raised
ἅγιος	devoted to the gods, sacred, holy
αἰσχρός	causing shame, abusive
δίδωμι	to give
καινός	new, fresh
μονή	a staying, abiding, tarrying, stay
βάλλω	to throw
ἀπό	from, away from. c. gen.
γραφή	drawing, writing; indictment
σύ	-
χείρ	the hand
βέβηλος	allowable to be trodden, permitted to human use
ἀντίθεσις	-
χρήσιμος	useful, serviceable, good for use, good, apt
καλέω	to call, summon
ἐπιτίθημι	to lay, put on; (mid.) to attack
γοῦν	at least then, at any rate, any way
ἴσως	equally, in like manner
παράδοξος	contrary to opinion, incredible, paradoxical
γέλοιος	causing laughter, laughable
καταλύω	to put down, destroy; settle (disputes); lodge, rest
δέω1	-
θέατρον	a place for seeing
πάλαισμα	-
νόμος	usage, custom, law, ordinance
πένθος	grief, sadness, sorrow
ἅπας	quite all, the whole
ἄνθος	a blossom, flower
τοσοῦτος	so large, so tall
σπαράσσω	to tear, rend in pieces, mangle
αἰσθητήριον	-
δέχομαι	to take, accept, receive
ἄρα	particle: 'so'
δύναμαι	to be able, capable, strong enough
ζημιόω	to cause loss
ὑμέτερος	your, yours
σπείρω	to sow
ὕλη	wood, material
μᾶλλον	more, rather
θαυμάζω	to wonder, marvel, be astonished
οἶδα	to know
λίαν	very, exceedingly
θρασύς	bold, spirited, courageous, confident
πάντοτε	at all times, always
ὅτε	when
θεωρία	a looking at, viewing, beholding
καθαρός	clear of dirt, clean, spotless, unsoiled
σαθρός	-
σχολή	spare time, leisure, rest, ease; σχολῇ scarcely
γράμμα	(drawing, scratch) letter, character, writing, document
πονηρός	toilsome, painful, grievous
κάλλος	beauty
γαστήρ	the paunch, belly
φωνή	a sound, tone
γῆ	earth
δή	[interactional particle: S&H on same page]
Μωυσῆς	-
μέλι	honey
καίπερ	although, albeit
δοκέω	seem, impers. it seems best..
ἀνήρ	a man
δάκρυον	a tear
ἐνταῦθα	here, there; at that juncture
ἀτιμάζω	to hold in no honour, to esteem lightly, dishonour, slight
ἀδελφός	sons of the same mother
διανοέω	-
ἐχθρός	hated, hateful; enemy
φλόξ	a flame
δόγμα	that which seems to one, an opinion, dogma
εἴτε	whether..or (regardless of whether A or B)
ἀλλήλων	of one another, to one another, one another
μυστικός	-
προσκυνέω	to make obeisance
μῦθος	anything, delivered by word of mouth, word, speech
γέλως	laughter
σιωπή	silence
πικρός	pointed, sharp, keen
ἀκροατής	a hearer
οἴομαι	to suppose, think, deem, imagine
σός	your
θεόλογος	-
νόσος	sickness, disease, malady
χείρων	worse, meaner, inferior
θάνατος	death
ἡδονή	delight, enjoyment, pleasure
ἐναντίος	opposite
ἀσέβεια	ungodliness, impiety, profaneness
διαλεκτικός	skilled in logical argument
πότερος	which of the two?
ὅσπερ	the very man who, the very thing which
κενός	empty
δόξα	a notion
πίστις	trust, belief; pledge, security
κἀν	-
φαίνω	to bring to light, make to appear
στενός	narrow, strait
φιλότιμος	loving honour, covetous of honour, ambitious, emulous
χριστός	to be rubbed on
κομψός	well-dressed
ἄρχω	(to be first) to rule, to begin
ἰδού	-
ὑβρίστρια	-
προσκνάομαι	-
ἤδη	already
ὁράω	to see
χαίρω	to rejoice, be glad, be delighted
κενοφωνία	-
ψευδώνυμος	-
γνῶσις	a (judicial) inquiry, knowledge
λογομαχία	-
περισσός	beyond the regular number
περίεργος	careful overmuch
συντέμνω	-
κῆρυξ	a herald, pursuivant, marshal, public messenger
βεβαιωτής	-
ἁλιεύς	-
μαθητής	a learner, pupil
διδάσκαλος	a teacher, master
εἴθε	-
εὔστροφος	-
δεινός	fearful, terrible, dread, dire
εὐγενής	well-born, of noble race, of high descent
δόκιμος	assayed, examined, tested
πρᾶξις	a doing, transaction, business
ἀσχολέω	-
ἥσσων	less, weaker
σοφιστής	a master of one's craft
κυβιστής	-
ἄτοπος	out of place
εὐσέβεια	reverence towards the gods, piety, religion
βλέπω	to see, have the power of sight
λύω	to loose
προβάλλω	to throw before, throw
δημοσιεύω	-
νίκη	victory
ἄθλησις	-
κλέπτω	to steal, filch, purloin
τοιοῦτος	such as this
συναρπάζω	to seize and carry clean away
ἐπαινέτης	a commender, admirer
ἀγορά	an assembly of the people
περιβομβέω	-
συμπόσιον	a drinking-party, symposium
ἀποκναίω	-
φλυαρία	silly talk, nonsense, foolery
ἀηδία	-
ἑορτή	a feast
ἀνέορτος	-
μεστός	full, filled, filled full
κατήφεια	-
παραμυθέομαι	to encourage
συμφορά	an event, circumstance, chance, hap
ζήτημα	that which is sought
διοχλέω	-
γυναικωνῖτις	-
ἁπλότης	singleness: simplicity, frankness
σύντροφος	-
αἰδώς	a sense of shame, shame, modesty, self-respect
ἀποσυλάω	-
ταχύτης	-
ἄσχετος	-
ἀφόρητος	-
κινδυνεύω	to be daring, to make a venture, take the risk, do a daring thing
τεχνύδριον	-
μυστήριον	a mystery
ἀνέχω	to hold up; (mid.) endure, put up with
κατάσκοπος	one who keeps a look out, a scout, spy
σπλάγχνον	the inward parts
πατρικός	derived from one's fathers, paternal, hereditary
κινέω	to set in motion, to move
θεῖος	of/from the gods, divine
Ἰερεμίας	-
τραχύς	rugged, rough
ἐπώχατο	were kept shut
ὑποτίθημι	-
οὖς	auris, the ear
λαλέω	to talk, chat, prattle, babble
καρπός	fruit
ὠφέλεια	help, aid, succour, assistance
καρποφορέω	to bear fruit
γόνιμος	-
ἀπέρχομαι	to go away, depart from
διαπτύω	-
ἀντιλογία	contradiction, controversy, disputation
λοιδορία	railing, abuse
ἑστιάω	to receive at one's hearth
ἐρῶ	[I will say]
διδάσκω	to teach
ὑπισχνέομαι	to promise
νεανικός	youthful, fresh, active, vigorous
γενναῖος	noble, excellent
λυπέω	to give pain to, to pain, distress, grieve, vex, annoy
εὔωνος	-
χαμαί	on the earth, on the ground
ἔρχομαι	to come
προστίθημι	to add, to apply, to close (a door); mid. to join (a group), take as an ally
ἐξετάζω	to examine well
διαβαίνω	to cross (a river, etc.); to stand with feet apart
πρό	before
καθαίρω	-
καθαίρω	to make pure
μέτριος	within measure
ἅπτω	to fasten, bind fast; mid. touch
τυγχάνω	(with gen.) to hit the mark, to get; (with pple) to happen to, to actually
ἀσφαλής	not liable to fall, immoveable, steadfast, firm
ἡλιακός	-
ἀκτίς	-
ἡνίκα	at which time, when
ἄγω	to lead
ἔξωθεν	from without
ἰλύς	-
ταραχή	trouble, disorder, confusion
ἡγεμονικός	-
συγχέω	to pour together, commingle, confound
μοχθηρός	suffering hardship, in sore distress, miserable, wretched
τύπος	a blow
πλανάω	to make to wander, lead wandering about
ἀναμίσγω	-
βόρβορος	-
μύρον	sweet juice extracted form plants, sweet-oil, unguent, balsam
εὐωδία	-
σχολάζω	to have leisure
γιγνώσκω	to learn to know, to perceive, mark, learn
κρίνω	to pick out, choose, judge, determine
εὐθύτης	-
σπουδή	haste, speed
φλυαρέω	to talk nonsense, play the fool
ἡδέως	-
ἱππικός	of a horse
ᾆσμα	-
ὑπό	from under, by, c. gen. under, c. dat., towards c. acc.
μέρος	a part, share
τρυφή	softness, delicacy, daintiness
ἐρεσχελία	-
κομψεία	-
φιλοσοφητέον	-
πόσος	how much? how many?
ἐφικτός	-
ἕξις	a having, possession
ἐφικνέομαι	to reach at, aim at
ὑπερβάλλω	to throw over
τροφή	nourishment, food, victuals
βλάπτω	to disable, hinder (Hom.); to harm, damage
φορτίον	a load, burden
ὑποβαίνω	-
ὑετός	rain
σφοδρός	vehement, violent, excessive
στερρός	-
κατά-πιέζω	-
βαρύνω	-
ἀρχαῖος	from the beginning
πάλιν	back, backwards
ἐπιφύω	-
εὔκολος	easily satisfied, contented with one's food
ταχύς	quick, swift, fleet
μνημονευτέον	-
ἀναπνευστέον	-
πρακτέος	-
μελετάω	to care for, attend to
ἡμέρα	day
νύξ	the night
διακελεύομαι	to exhort, give orders, direct
ἑσπέρα	evening, eventide, eve
πρωί	-
μεσημβρία	mid-day, noon; south
διηγέομαι	to set out in detail, describe in full
εὐλογέω	to speak well of, praise, honour
κοιτάζω	-
διανίσταμαι	-
ὁδοιπορέω	-
πράσσω	do, (w. adv) fare, (mid.) charge payment
τῆ	take
μνήμη	a remembrance, memory, record
τυπόω	-
καθαρότης	-
ὥστε	so that
διηνεκής	-
κωλύω	to let, hinder, check, prevent
θεολογέω	-
ἀσεβής	ungodly, godless, unholy, profane
ἀκαιρία	-
διδασκαλία	teaching, instruction, education
ἀμετρία	-
πλησμονή	a filling
κόρος1	-
ἔμετος	-
ἐργάζομαι	to work, labour
Σολομών	-
χειμών	winter; storm, stormy weather
παντελής	all-complete, absolute, complete, entire
ἄωρος1	-
γυνή	a woman
ἀνδρεῖος	of or for a man; courageous
γυναικεῖος	of or belonging to women
γεωμετρία	geometry
πότος	drinking, a drinking-bout, carousal
μάλιστα	most
τιμητέος	-
εὔκαιρος	well-timed, in season, seasonable
μηδαμῶς	not at all
φίλος	friend; loved, beloved, dear
ἔτι	yet, as yet, still, besides
ἀδελφικός	-
ἵππος	a horse, mare
θερμός	hot, warm
δυσκάθεκτος	-
ἐπιβάτης	-
λογισμός	a counting, reckoning, calculation, computation
ἀπορρίπτω	to throw away, put away
ἄγχουσα	-
εὐλάβεια	discretion, caution, circumspection
ἀποπτύω	-
πρόσω	forwards, onwards, further
νύσσα	-
θέω	to run
εἴσω	to within, into
ὅρος	a boundary, landmark
Αἴγυπτος	-
ἐκφέρω	to carry out of
Ἀσσύριος	-
κατασύρω	-
ἀείδω	to sing
ᾠδή	a song, lay, ode
ξένος2	-
φίλιος	friendly, of friendship; dear, beloved
εὐγνώμων	-
ἀγνώμων	ill-judging, senseless
ἐπιμελής	careful
τηρέω	to watch over, protect, guard
σπινθήρ	-
ἐξάπτω	-
ἀναρριπίζω	-
οὐρανός	heaven
αἴρω	to take up, raise, lift up
αὔρα	-
λανθάνω	to escape notice, to be unknown, unseen, unnoticed
βαβυλωνία	-
κύκλος	a ring, circle, round
καταφλέγω	-
ἰσχύς	strength
θηρεύω	to hunt, go hunting
μυῖα	-
τραῦμα	a wound, hurt
ἀτύχημα	-
χρή	it is fated, necessary
ἁμάρτημα	a failure, fault, sin
ἀγνοέω	not to perceive, be ignorant of
κόσμιος	well-ordered, regular, moderate
ἔχθρα	hatred, enmity
δυνατός	strong, mighty, able
συμβαίνω	meet, agree, happen
φθέγγομαι	to utter a sound
ῥίπτω	to throw, cast, hurl
ἔκφορος	-
σεμνός	revered, august, holy, awful
ἀποφαίνω	to shew fort, display, produce
δαιμόνιον	divine being, spirit
θεραπευτής	-
θάσσων	quicker, swifter
αἷμα	blood
μεταδίδωμι	to give part of, give a share of
ἀμύητος	-
ἐσθής	dress, clothing, raiment
δίαιτα	a way of living, mode of life
βάδισμα	-
κοσμιότης	-
πρεσβεύω	to be the elder; to be an ambassador
προσηγορία	-
φιλόνεικος	-
ἔννομος	within the law, lawful, legal
γέννησις	an engendering, producing
κτίσις	a founding, foundation
ἐκ	from out of
τομή	stump, section
διαίρεσις	a dividing, division
ἀνάλυσις	-
δικαστής	a judge
κατήγορος	an accuser
καθίζω	to make to sit down, seat
ξίφος	-
ἐγχειρίζω	to put into one's hands, entrust
πῶς	how? in what way
μοιχεία	adultery
παιδοφθορία	-
μηδείς	(and not one); not one, no-one
χθές	yesterday
πρώην	lately, just now
ἵστημι	to make to stand
γνωρίζω	to make known, point out, explain
ὑλικός	-
ἔθω	-
συνήγορος	-
οἰκεῖος	in or of the house
ἐπηρεάζω	-
πείθω	to prevail upon, win over, persuade
ἐφευρετής	-
πότε	-
ἀπέχω	to keep off
πόλεμος	battle, fight, war
μάχομαι	to fight
ἀρέσκω	(to make good, make up), to please
ταὐτός	-
πάσχω	to experience, to suffer
μαίνομαι	to rage, be furious
ἴδιος	one's own, pertaining to oneself
οἶκος	a house, abode, dwelling
ἀνάπτω	-
παῖς	a child
γονεύς	a begetter, father
περιωθέω	-
νομίζω	to have as a custom; to believe
ἀποσκευάζω	-
ἀγέλη	a herd
χοῖρος	a young pig, porker
ἀποπέμπω	to send off
λεγεών	-
βυθός	-
χωρέω	give way, draw back, retire, withdraw
δεύτερος	second
εἶδον	to see
ξέω	-
ἀνδριάς	the image of a man, a statue
πρῶτος	first
λογίζομαι	to count, reckon, calculate, compute
φιλοτιμία	the character of the φιλότιμος, love of distinction, ambition
γλωσσαλγία	-
ἀπληστία	insatiate desire, greediness
ὁπλίζω	to equip, make ready; to arm
φιλοξενία	-
φιλαδελφία	brotherly love
φιλανδρία	-
παρθενία	-
πτωχοτροφία	-
ψαλμῳδία	-
πάννυχος	-
στάσις	a standing, the posture of standing
νηστεία	a fast [JT: cut off?]
ὑπό-πιέζω	-
εὐχή	a prayer, vow
ἐκδημέω	to be abroad, to be on one's travels
κρείσσων	stronger, mightier, more powerful
ὑποζεύγνυμι	-
χοῦς	measure of capacity
πνεῦμα	a blowing
κρᾶμα	-
δίκαιος	just, observant of custom, correct, balanced
δικάζω	to judge, to give judgment on
μελέτη	care, attention
βίος	life
δεσπότης	a master, lord, the master of the house
καθίστημι	to set down, place
ἄνωθεν	from above, from on high
εὐγένεια	-
θυμός	the soul
τιθασεύω	-
ἐξοιδέω	-
ἀγριαίνω	to be angered, provoked, chafed
ἔπαρσις	-
καταβάλλω	to throw down, overthrow
λύπη	pain of body
ἀλόγιστος	unreasoning, inconsiderate, thoughtless, heedless
ἀπαίδευτος	uneducated
πορνικός	-
ἄτακτος	not in battle-order
ἄπληστος	not to be filled, insatiate
ἄμετρος	-
ἔκτοπος	-
θυρίς	-
εἴτουν	-
εἰσάγω	to lead in
ἐλευθερία	freedom, liberty
βασιλεύς	a king, chief
ἐπινίκιος	-
ἄφεσις	a letting go, dismissal
νεύω	to nod
μισθός	wages, pay, hire
ἀντιδίδωμι	to give in return, repay
παρρησία	freespokenness, openness, frankness
καίτοι	and indeed, and further; and yet
λάλος	-
ἐρωτάω	to ask
ἀποκρίνω	to separate, set apart; mid. answer
Ἰώβ	-
λαῖλαψ	a tempest, furious storm, hurricane
νέφος	-
χρηματίζω	to negotiate, transact business, have dealings
δηλαδή	-
πληρόω	to make full
μάτην	in vain, idly, fruitlessly
ἑτοιμάζω	to make ready, prepare
ναί	yea, verily
εἰκῇ	without plan
ποτέ	-
τίθημι	to set, put, place
ἐκεῖθεν	from that place, thence
ἀνάπαυσις	repose, rest
ἀπόκειμαι	to be laid away
μακάριος	blessed, happy
ὁμολογέω	agree, say the same thing as
προσεξετάζω	-
προξενέω	-
ἐμός	mine
διάφορος	different, unlike
πολιτεία	citizenship, citizen body, constitution
προαίρεσις	-
ἀλλαχοῦ	-
ἀναλογία	-
ὀνομάζω	to name
ὁδευτέον	-
πλεῖστος	most, largest
διαφερόντως	differently from, at odds with
ὀρθός	straight
ὑπολαμβάνω	take up; understand, interpret; assume; reply, rejoin
δηλόω	to make visible
ἀρετή	goodness, excellence
σχίζω	to split, cleave
ἱδρώς	-
βατός	-
πλῆθος	a great number, a throng, crowd, multitude
κακία	badness
ὁδεύω	-
βέλτιστος	best
εἴπερ	strengthd. for εἰ, if indeed
πενία	poverty, need
καταγιγνώσκω	to remark, discover
ἀφίημι	to send forth, discharge
ὠθέω	to thrust, push, shove, force onwards
ἀδολεσχία	-
τερατεία	-
ἐπιτιμάω	honor, raise price; blame, rebuke, censure
ὀνειδίζω	to throw a reproach upon
ἀπαρίθμησις	-
χάρισμα	a grace, favour: a free gift, gift of God's grace
μής	-
ἀπόστολος	a messenger, ambassador, envoy
προφήτης	one who speaks for a God and interprets his will
ἑξῆς	one after another, in order, in a row
πέρα	beyond, across
νεφέλη	a cloud
ἀθέατος	-
θεατής	-
ἄρρητος	-
Ἠλίας	-
μετάρσιος	-
θεοφάνεια	-
ἀξιόω	to think worthy of; to expect
οὐράνιος	heavenly, of or in heaven, dwelling in heaven
αὐθήμερος	on the same day
πλάσσω	to form, mould, shape
χειροτονέω	(to stretch out the hand), to vote, elect
ἐμπνέω	-
παίδευσις	education, a system of education
λόγιον	an announcement, oracle
συνέδριον	a body of men assembled in council, a council-board, council
ἀράχνιον	-
ὕφασμα	-
ἐνδεσμέω	-
ἀσθενής	without strength, weak, feeble, weakly
σοφός	wise, skilled, clever
σφηκιά	-
ἐγείρω	to awaken, wake up, rouse
σχεδιάζω	-
ἀνάδοσις	-
πάλαι	long ago, in olden time, in days of yore, in time gone by
γίγας	-
κοῦφος	light, nimble
ἄνανδρος	husbandless
συρφετός	-
χαράδρα	a mountain stream, a torrent, which cuts itself
συνάγω	to bring together, gather together, collect, convene
κολακεία	flattery, fawning
θηλύνω	-
ἐργαστήριον	any place in which work is done: a workshop, manufactory
δημιουργέω	to practise a trade, do work
ἄσοφος	-
ἄνοια	want of understanding, folly
ἐκκαρπόομαι	-
ἀντιλέγω	to speak against, gainsay, contradict
οὐδαμοῦ	nowhere
δυναστεύω	to hold power
κατέχω	to hold fast
ὠδίς	the pangs
ὑπόθεσις	proposal, subject, supposition
ἐκεῖ	there, in that place
τρέπω	to turn
Πυθαγόρας	-
κύαμος	-
Ὀρφικός	-
ἀλαζονεία	-
Πλάτων	-
ἰδέα	form
μετενσωμάτωσις	-
περίοδος	one who goes the rounds, patrol
ἀνάμνησις	a calling to mind, recollection
ἔρως	love
Ἐπίκουρος	-
ἀθεία	-
ἄτομος	-
ἀφιλόσοφος	-
Ἀριστοτέλης	-
μικρολόγος	-
πρόνοια	foresight, foreknowledge
ἔντεχνος	-
θνητός	liable to death, mortal
ἀνθρωπικός	-
στοά	a roofed colonnade, piazza, cloister
ὀφρύς	-
κύων	-
λίχνος	-
ἀγοραῖος	in, of the market
πλήρης	filled
λήρημα	-
θυσία	burnt offering, sacrifice
εἴδωλον	an image, a phantom
δαίμων	god; divine power
ἀγαθός	good
κακοποιός	-
μαντεία	prophesying, prophetic power
θεαγωγία	-
ψυχαγωγία	-
ἄστρον	the stars
τερατεύομαι	-
ἀπαξιόω	-
πολλάκις	many times, often, oft
ἐλέγχω	cross-examine; put to the test; prove; refute
στρέφω	to turn about
ζητέω	to seek, seek for
παρέχω	to furnish, provide, supply
πλατύς	wide, broad
λογικός	-
φύσις	the nature, natural qualities, powers, constitution, condition
βελτίων	better
ἀνάστασις	a raising up
κρίσις	a separating, power of distinguishing
ἀνταπόδοσις	-
πάθημα	anything that befals one, a suffering, calamity, misfortune
ἐπιτυγχάνω	to hit the mark
ἄχρηστος	useless, unprofitable, unserviceable
διαμαρτάνω	to go astray from
ἀκίνδυνος	without danger, free from danger
ἐντυγχάνω	to light upon, fall in with, meet with
νῦν	now at this very time
ὀλίγος	few, little, scanty, small
ὕστερον	the afterbirth
τέλειος	having reached its end, finished, complete
Ἰησοῦς	-
αἰών	life, lifetime, time; spinal marrow
ἀμήν	verily, of a truth, so be it
