ἀγαθός, ἀγαθή, ἀγαθόν	good
ἀγγέλλω, ἤγγειλα	I announce
ἄγγελος, ἀγγέλου, ὁ	messenger
ἀγορά, ἀγορᾶς, ἡ	market-place
ἀγρός, ἀγροῦ, ὁ	field, countryside
ἄγω, ἤγαγον	I lead, bring
ἀεί	always
ἆθλον, ἄθλου, τό 	prize, reward
ἀκούω, ἤκουσα	I hear, listen
ἀνδρεῖος, ἀνδρεία, ἀνδρεῖον	brave
ἄνθρωπος, ἀνθρώπου, ὁ	man, person
ἀπό + gen	from, away from
ἆρα; 	[introduces a question]
βαίνω, ἔβην	I go
βάλλω, ἔβαλον	I throw, fire at, hit (with missile)
βίβλος, βίβλου, ἡ	book
βοή, βοῆς, ἡ	shout
γιγνώσκω, ἔγνων	I know, realise, understand
γράφω	I write, draw
δεινός, δεινή, δεινόν	terrible, strange, clever
διότι	because
διώκω	I chase, pursue
δοῦλος, δούλου, ὁ  	slave
δῶρον, δώρου, τό	present, gift
ἐθέλω, ἠθέλησα	I wish, am willing
εἰμί, ἦν (imperfect) 	I am
εἰς + acc	to, into
ἐκ or ἐξ + gen	out of, from
ἐν + dat	in, among
ἐπιστολή, ἐπιστολῆς, ἡ	letter
ἔργον, ἔργου, τό	work, task, deed, action
ἐσθίω, ἔφαγον	I eat
εὐθύς	immediately, at once
εὑρίσκω, ηὗρον	I find
ἔχω (imperfect εἶχον), ἔσχον	I have
ἡμέρα, ἡμέρας, ἡ  	day
θάλασσα, θαλάσσης, ἡ	sea
θαυμάζω	I am amazed at, admire
θεά, θεᾶς, ἡ 	goddess
θεός, θεοῦ, ὁ	god
θύρα, θύρας, ἡ	door
ἱερόν, ἱεροῦ, τό	temple
ἵππος, ἵππου, ὁ	horse
ἰσχυρός, ἰσχυρά, ἰσχυρόν	strong
καί   	and, also, even, too
κακός, κακή, κακόν	bad, wicked
καλός, καλή, καλόν	beautiful, handsome, fine
κελεύω	I order
κίνδυνος, κινδύνου, ὁ	danger
κρύπτω	I hide (something)
λαμβάνω, ἔλαβον	I take, capture
λέγω, εἶπον	I say, speak, tell
λείπω, ἔλιπον	I leave
λίθος, λίθου, ὁ	stone
λόγος, λόγου, ὁ	word, speech, argument, story, account
μανθάνω, ἔμαθον	I learn, understand
μάχη, μάχης, ἡ	battle
μένω, ἔμεινα	I wait, remain
μῶρος, μώρα, μῶρον	foolish, stupid
νεανίας, νεανίου, ὁ	young man
νέος, νέα, νέον	new, young, recent
νῆσος, νήσου, ἡ	island
νόμος, νόμου, ὁ	law, custom
νῦν	now
ξένος, ξένου, ὁ	stranger, foreigner, host, guest
ὁ, ἡ, τό 	the
ὁδός, ὁδοῦ, ἡ	road, path, way, journey
οἰκία, οἰκίας, ἡ	house
οἶνος, οἴνου, ὁ	wine
ὀλίγοι, ὀλίγαι, ὀλίγα	few
ὅπλα, ὅπλων, τά	weapons, arms, armour
οὐ, οὐκ, οὐχ	not
πείθω	I persuade
πέμπω	I send
πίνω, ἔπιον	I drink
πίπτω, ἔπεσον	I fall
πολίτης, πολίτου, ὁ	citizen
πολλάκις	often
πολλοί, πολλαί, πολλά	many
ποταμός, ποταμοῦ, ὁ   	river
πρός + acc	to, towards, against
πύλη, πύλης, ἡ	gate
ῥᾴδιος, ῥᾳδία, ῤᾴδιον	easy
σῖτος, σίτου, ὁ 	food, corn
σοφός, σοφή, σοφόν	wise
στρατηγός, στρατηγοῦ, ὁ	general, commander
στρατιώτης, στρατιώτου, ὁ	soldier
τρέχω, ἔδραμον	I run
φέρω, ἤνεγκα	I carry, bear, endure
φεύγω, ἔφυγον	I run away
φίλος, φίλου, ὁ	(male) friend
φυλάσσω	I guard
φωνή, φωνῆς, ἡ	voice
χαλεπός, χαλεπή, χαλεπόν	difficult, dangerous
χρυσός, χρυσοῦ, ὁ	gold
χώρα, χώρας, ἡ	country, land